,american_name,country,lat,long,conf_count,date,cured_count,dead_count,country_2
211,Beijing,China,40.1824,116.4142,36,2020-01-24,1,0,China
212,Chongqing,China,30.0572,107.874,27,2020-01-24,0,0,China
213,Fujian,China,26.0789,117.9874,10,2020-01-24,0,0,China
214,Gansu,China,36.0611,103.8343,2,2020-01-24,0,0,China
215,Guangdong,China,23.3417,113.4244,53,2020-01-24,2,0,China
216,Guangxi,China,23.8298,108.7881,23,2020-01-24,0,0,China
217,Guizhou,China,26.8154,106.8748,3,2020-01-24,0,0,China
218,Hainan,China,19.1959,109.7453,8,2020-01-24,0,0,China
219,Hebei,China,38.0428,114.5149,2,2020-01-24,0,1,China
220,Heilongjiang,China,47.861999999999995,127.7615,4,2020-01-24,0,1,China
221,Henan,China,33.882020000000004,113.61399999999999,9,2020-01-24,0,0,China
222,Hubei,China,30.9756,112.2707,549,2020-01-24,31,24,China
223,Hunan,China,27.6104,111.7088,24,2020-01-24,0,0,China
224,Inner Mongolia,China,44.0935,113.9448,1,2020-01-24,0,0,China
225,Jiangsu,China,32.9711,119.455,9,2020-01-24,0,0,China
226,Jiangxi,China,27.614,115.7221,18,2020-01-24,0,0,China
227,Jilin,China,43.6661,126.1923,3,2020-01-24,0,0,China
228,Liaoning,China,41.2956,122.6085,4,2020-01-24,0,0,China
229,Ningxia,China,37.2692,106.1655,2,2020-01-24,0,0,China
230,Qinghai,China,35.7452,95.9956,0,2020-01-24,0,0,China
231,Shaanxi,China,35.1917,108.8701,5,2020-01-24,0,0,China
232,Shandong,China,36.3427,118.1498,15,2020-01-24,0,0,China
233,Shanghai,China,31.201999999999998,121.4491,20,2020-01-24,1,0,China
234,Shanxi,China,37.5777,112.2922,1,2020-01-24,0,0,China
235,Sichuan,China,30.6171,102.7103,15,2020-01-24,0,0,China
236,Tianjin,China,39.3054,117.323,8,2020-01-24,0,0,China
237,Tibet,China,31.6927,88.0924,0,2020-01-24,0,0,China
238,Xinjiang,China,41.1129,85.2401,2,2020-01-24,0,0,China
239,Yunnan,China,24.974,101.48700000000001,5,2020-01-24,0,0,China
240,Zhejiang,China,29.1832,120.0934,43,2020-01-24,1,0,China
241,Thailand,Thailand,15.0,101.0,5,2020-01-24,0,0,Thailand
242,Japan,Japan,36.0,138.0,2,2020-01-24,0,0,Japan
243,South Korea,South Korea,36.0,128.0,2,2020-01-24,0,0,South Korea
