,american_name,country,lat,long,conf_count,date,cured_count,dead_count,country_2
7598,"Contra Costa County, CA",United States of America,37.8534,-121.9018,1,2020-03-05,0,0,United States of America
7599,Palestine,Palestine,31.9522,35.2332,4,2020-03-05,0,0,Palestine
7600,Bosnia and Herzegovina,Bosnia and Herzegovina,43.9159,17.6791,2,2020-03-05,0,0,Bosnia and Herzegovina
7601,Slovenia,Slovenia,46.1512,14.9955,2,2020-03-05,0,0,Slovenia
7602,"Bergen County, NJ",United States of America,40.9263,-74.077,2,2020-03-05,0,0,United States of America
7603,"Harris County, TX",United States of America,29.7752,-95.3103,2,2020-03-05,0,0,United States of America
7604,"San Francisco County, CA",United States of America,37.7749,-122.4194,2,2020-03-05,0,0,United States of America
7605,South Africa,South Africa,-30.5595,22.9375,1,2020-03-05,0,0,South Africa
7606,"Clark County, NV",United States of America,36.0796,-115.094,1,2020-03-05,0,0,United States of America
7607,"Fort Bend County, TX",United States of America,29.5693,-95.8143,1,2020-03-05,0,0,United States of America
7608,"Grant County, WA",United States of America,47.1981,-119.3732,1,2020-03-05,0,0,United States of America
7609,"Queens County, NY",United States of America,40.7282,-73.7949,1,2020-03-05,0,0,United States of America
7610,"Santa Rosa County, FL",United States of America,30.769000000000002,-86.9824,1,2020-03-05,0,0,United States of America
7611,"Williamson County, TN",United States of America,35.9179,-86.8622,1,2020-03-05,0,0,United States of America
